"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "TypeScript JSX", "Prisma", "JSON", "CSS", "Markdown", "YAML", "comment", "blank", "total"
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 89, 0, 0, 0, 0, 0, 1, 12, 102
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 7, 80
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\Icons.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\MainPageQuestions.tsx", "TypeScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 2, 48
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\MainVideoSummary.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\MaxWidthWrapper.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\MobileNav.tsx", "TypeScript JSX", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 9, 100
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 7, 122
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\Opinions.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 6, 59
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\PdfFullscreen.tsx", "TypeScript JSX", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 6, 82
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\PdfRenderer.tsx", "TypeScript JSX", 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 26, 250
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\Providers.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\QuizCards.tsx", "TypeScript JSX", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 3, 88
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\Quizzes.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\TypewriterTitle.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\UploadButton.tsx", "TypeScript JSX", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 27, 173
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\UserAccountNav.tsx", "TypeScript JSX", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 11, 99
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\UserAccountNavbar.tsx", "TypeScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 3, 49
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\chat\ChatContext.tsx", "TypeScript JSX", 0, 0, 0, 194, 0, 0, 0, 0, 0, 5, 37, 236
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\chat\ChatInput.tsx", "TypeScript JSX", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 9, 66
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\chat\ChatWrapper.tsx", "TypeScript JSX", 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 12, 118
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\chat\Message.tsx", "TypeScript JSX", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 5, 97
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\chat\Messages.tsx", "TypeScript JSX", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 12, 116
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 8, 61
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 7, 51
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 6, 57
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 9, 80
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\ui\command.tsx", "TypeScript JSX", 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 19, 156
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 14, 123
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 19, 201
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 25, 177
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 7, 32
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 33
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 6, 45
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\ui\toast.tsx", "TypeScript JSX", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 13, 128
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\ui\toaster.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 4, 36
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\ui\use-toast.ts", "TypeScript", 0, 0, 159, 0, 0, 0, 0, 0, 0, 3, 31, 193
"d:\Systemowe\Pulpit\Portfolio\learney\src\config\infinite-query.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Systemowe\Pulpit\Portfolio\learney\src\db\index.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 3, 18
"d:\Systemowe\Pulpit\Portfolio\learney\src\lib\openai.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Systemowe\Pulpit\Portfolio\learney\src\lib\prompt.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"d:\Systemowe\Pulpit\Portfolio\learney\src\lib\strictGpt.ts", "TypeScript", 0, 0, 102, 0, 0, 0, 0, 0, 0, 18, 21, 141
"d:\Systemowe\Pulpit\Portfolio\learney\src\lib\unsplash.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Systemowe\Pulpit\Portfolio\learney\src\lib\uploadthing.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Systemowe\Pulpit\Portfolio\learney\src\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Systemowe\Pulpit\Portfolio\learney\src\lib\validators\SendMessageValidator.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Systemowe\Pulpit\Portfolio\learney\src\lib\validators\course.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Systemowe\Pulpit\Portfolio\learney\src\lib\validators\quiz.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Systemowe\Pulpit\Portfolio\learney\src\lib\youtube.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 3, 62
"d:\Systemowe\Pulpit\Portfolio\learney\src\trpc\index.ts", "TypeScript", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 29, 146
"d:\Systemowe\Pulpit\Portfolio\learney\src\trpc\trpc.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"d:\Systemowe\Pulpit\Portfolio\learney\src\types\message.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"d:\Systemowe\Pulpit\Portfolio\learney\tailwind.config.ts", "TypeScript", 0, 0, 91, 0, 0, 0, 0, 0, 0, 1, 1, 93
"d:\Systemowe\Pulpit\Portfolio\learney\tsconfig.json", "JSON with Comments", 0, 25, 0, 0, 0, 0, 0, 0, 0, 2, 1, 28
"Total", "-", 17, 25, 1012, 4057, 123, 98, 74, 23, 8196, 43, 1669, 15337
